㓦划	㓦劃
三呼万岁	三呼萬歲
三回两转	三回兩轉
三回九曲	三回九曲
三回九转	三回九轉
三回五次	三回五次
三回五转	三回五轉
三国志	三國志
三坛大戒	三壇大戒
三复	三複
三复斯言	三復斯言
三复白圭	三復白圭
三大发明	三大發明
三大差别	三大差別
三天后	三天後
三头两面	三頭兩面
三头马车制	三頭馬車制
三夹板	三夾板
三娘教子	三孃教子
三对三斗牛	三對三鬥牛
三对六面	三對六面
三尸	三尸
三尸神	三尸神
三年制	三年制
三弦	三絃
三征七辟	三徵七辟
三思台	三思臺
三思而后	三思而後
三思而后行	三思而後行
三恶道	三惡道
三战两胜	三戰兩勝
三才	三才
三才图会	三才圖會
三扎	三紮
三折肱	三折肱
三折肱为良医	三折肱爲良醫
三振出局	三振出局
三方面	三方面
三日不读书面目可憎	三日不讀書面目可憎
三星集团	三星集團
三月里的桃花	三月裏的桃花
三杆	三杆
三杠	三槓
三杯	三杯
三杯和万事	三杯和萬事
三杯鸡	三杯雞
三板	三板
三极	三極
三极真空	三極真空
三极管	三極管
三次曲线	三次曲線
三段制	三段制
三江并流	三江並流
三浴三熏	三浴三熏
三涂	三塗
三点钟	三點鐘
三熏三沐	三熏三沐
三班制	三班制
三瓦两舍	三瓦兩舍
三瓦四舍	三瓦四舍
三生有幸	三生有幸
三用表	三用表
三番四复	三番四復
三百万	三百萬
三百个	三百個
三百千千	三百千千
三百多万	三百多萬
三百馀万	三百餘萬
三秋	三秋
三秒钟	三秒鐘
三穗	三穗
三穗县	三穗縣
三级三审制	三級三審制
三结合	三結合
三统历	三統曆
三统历史	三統歷史
三胜制	三勝制
三脚采茶戏	三腳採茶戲
三舍	三舍
三苏	三蘇
三表	三表
三角关系	三角關係
三角套汇	三角套匯
三角巾包扎法	三角巾包紮法
三角板	三角板
三角表	三角表
三辟	三辟
三连胜	三連勝
三部合唱	三部合唱
三部曲	三部曲
三里屯	三里屯
三里河	三里河
三针	三針
三长制	三長制
三门干部	三門幹部
三青团	三青團
三面	三面
三面亚当	三面亞當
三面体	三面體
三面夏娃	三面夏娃
三面红旗	三面紅旗
三面网	三面網
三面角	三面角
三马同槽	三馬同槽
三鹿集团	三鹿集團
上一个	上一個
上万	上萬
上上个月	上上個月
上下五千年	上下五千年
上下交困	上下交困
上下同心	上下同心
上下游	上下游
上不了	上不了
上不了台面	上不了檯面
上不得台盘	上不得檯盤
上个星期	上個星期
上个月	上個月
上中下游	上中下游
上了	上了
上了岁数	上了歲數
上了年纪	上了年紀
上党	上黨
上党梆子	上黨梆子
上冲	上衝
上冲下洗	上沖下洗
上千	上千
上千万	上千萬
上千人	上千人
上升	上升
上升为	上升爲
上升趋势	上升趨勢
上半叶	上半葉
上发条	上發條
上台	上臺
上台演唱	上臺演唱
上台演奏	上臺演奏
上台演讲	上臺演講
上叶	上葉
上合屋	上閤屋
上合组织	上合組織
上吊	上吊
上吊自杀	上吊自殺
上同调	上同調
上周	上週
上回	上回
上复	上覆
上夸克	上夸克
上层建筑	上層建築
上市柜	上市櫃
上弦	上弦
上当	上當
上彩	上彩
上搜	上搜
上杠	上槓
上柜	上櫃
上栗县	上栗縣
上梁	上樑
上梁不正	上樑不正
上梁不正下梁歪	上樑不正下樑歪
上梁山	上梁山
上梁文	上梁文
上游	上游
上游工业	上游工業
上百万	上百萬
上确界	上確界
上签	上籤
上签写	上簽寫
上签名	上簽名
上签字	上簽字
上签收	上簽收
上舍	上舍
上花台	上花臺
上药	上藥
上药膏	上藥膏
上蜡	上蠟
上表	上表
上课钟	上課鐘
上野树里	上野樹里
上链	上鍊
上面	上面
上马杯	上馬杯
下一个	下一個
下三面	下三面
下下个月	下下個月
下不了	下不了
下不了台	下不了臺
下不来台	下不來臺
下个星期	下個星期
下个月	下個月
下了	下了
下于	下於
下仑路	下崙路
下冲	下衝
下出	下出
下划线	下劃線
下厂	下廠
下发	下發
下台	下臺
下台阶	下臺階
下叶	下葉
下同	下同
下向	下向
下周	下週
下咽	下嚥
下回	下回
下城里	下城裏
下夸克	下夸克
下弦	下弦
下彩	下彩
下得了	下得了
下手干	下手幹
下才	下才
下摆	下襬
下有苏杭	下有蘇杭
下板儿	下板兒
下梁	下樑
下水道系统	下水道系統
下注	下注
下注解	下註解
下游	下游
下游工业	下游工業
下确界	下確界
下种	下種
下笔千言	下筆千言
下签	下籤
下签写	下簽寫
下签名	下簽名
下签字	下簽字
下签收	下簽收
下药	下藥
下表	下表
下课后	下課後
下课钟	下課鐘
下采	下采
下里	下里
下里巴人	下里巴人
下面	下面 下麪
下面请看	下面請看
下风方向	下風方向
下马杯	下馬杯
不一致	不一致
不一致字	不一致字
不上台盘	不上檯盤
不下于	不下於
不丑	不醜
不世出	不世出
不中于款	不中於款
不丰不杀	不豐不殺
不为牛后	不爲牛後
不为米折腰	不爲米折腰
不乐于	不樂於
不了	不了
不了之局	不了之局
不了了之	不了了之
不了了当	不了了當
不了情	不了情
不了汉	不了漢
不了解	不瞭解
不以词害志	不以詞害志
不以辞害志	不以辭害志
不体面	不體面
不作准	不作準
不侮暗室	不侮暗室
不修	不修
不修小节	不修小節
不修帷薄	不修帷薄
不修边幅	不修邊幅
不借	不借
不值当	不值當
不假外出	不假外出
不偏极	不偏極
不停当	不停當
不光彩	不光彩
不克	不克
不克制	不剋制
不克自制	不克自制
不全症	不全症
不再出版	不再出版
不准	不準 不准
不准他	不准他
不准你	不准你
不准备	不準備
不准她	不准她
不准它	不准它
不准我	不准我
不准没	不准沒
不准确	不準確
不准翻印	不准翻印
不准许	不准許
不准谁	不准誰
不准问	不准問
不减当年	不減當年
不出	不出
不出去	不出去
不出所料	不出所料
不出材	不出材
不出来	不出來
不分胜负	不分勝負
不分胜败	不分勝敗
不分青红皂白	不分青紅皁白
不切合实际	不切合實際
不划算	不划算
不利于	不利於
不前不后	不前不後
不加修饰	不加修飾
不加区别	不加區別
不加自制	不加自制
不劳无获	不勞無獲
不劳而获	不勞而獲
不升	不升
不升反降	不升反降
不单只是	不單只是
不卜可知	不卜可知
不占	不佔
不占凶吉	不占凶吉
不占卜	不占卜
不占吉凶	不占吉凶
不占算	不占算
不发心	不發心
不变价格	不變價格
不只	不只
不只是	不只是
不可以道里计	不可以道里計
不可同年而语	不可同年而語
不可同日	不可同日
不可同日而语	不可同日而語
不可向迩	不可向邇
不可当	不可當
不可战胜	不可戰勝
不可挽回	不可挽回
不可救药	不可救藥
不可胜书	不可勝書
不可胜原	不可勝原
不可胜数	不可勝數
不可胜纪	不可勝紀
不可胜言	不可勝言
不可胜计	不可勝計
不可胜记	不可勝記
不吃烟火食	不吃煙火食
不合	不合
不合体统	不合體統
不合作	不合作
不合作运动	不合作運動
不合式	不合式
不合时宜	不合時宜
不合标准	不合標準
不合格	不合格
不合法	不合法
不合理	不合理
不合算	不合算
不合群	不合羣
不合节	不合節
不合规定	不合規定
不合适	不合適
不合逻辑	不合邏輯
不吊	不弔
不同	不同
不同于	不同於
不同人	不同人
不同以往	不同以往
不同凡响	不同凡響
不同印本	不同印本
不同处	不同處
不同意	不同意
不同日月	不同日月
不同点	不同點
不同调	不同調
不向	不向
不告而别	不告而別
不周	不周
不周到	不周到
不周山	不周山
不周延	不周延
不周风	不周風
不善于	不善於
不图打点只图混水	不圖打點只圖混水
不在了	不在了
不堪回首	不堪回首
不复	不復
不复存在	不復存在
不外借	不外借
不多于	不多於
不多几日	不多幾日
不大合时	不大合時
不大精采	不大精采
不好了	不好了
不好干涉	不好干涉
不好干預	不好干預
不好干预	不好干預
不嫌母丑	不嫌母醜
