撟	挢
撣	掸
撥	拨
撧	𪮖
撫	抚
撲	扑
撳	揿
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擊	击
擋	挡
擓	㧟
擔	担
據	据
擟	𪭧
擠	挤
擡	抬
擣	捣 𢭏
擫	𢬍
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
攄	摅
攆	撵
攋	𪮶
攏	拢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攢	攒
攣	挛
攤	摊
攪	搅
攬	揽
敎	教
敓	敚
敗	败
敘	叙
敵	敌
數	数
斂	敛
斃	毙
斅	𢽾
斆	敩
斕	斓
斗	斗
斬	斩
斷	断
斸	𣃁
於	于 於
旂	旗
旣	既
昆	昆
昇	升
時	时
晉	晋
晝	昼
暈	晕
暉	晖
暗	暗
暘	旸
暢	畅
暫	暂
曄	晔
曆	历
曇	昙
曉	晓
曊	𪰶
曏	向
曖	暧
曠	旷
曥	𣆐
曨	昽
曬	晒
曲	曲
書	书
會	会
朥	𦛨
朧	胧
朮	术
朱	朱
朴	朴
杆	杆
杠	杠
杯	杯
杰	杰
東	东
杴	锨
松	松
板	板
极	极
枴	拐
柜	柜
柵	栅
柺	拐
査	查
栗	栗
核	核
桱	𣐕
桿	杆
梁	梁
梔	栀
梖	𪱷
梘	枧
條	条
梟	枭
梲	棁
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棡	㭎
棧	栈
棱	棱
棲	栖
棶	梾
椏	桠
椲	㭏
楇	𣒌
楊	杨
楓	枫
楨	桢
業	业
極	极
榘	矩
榦	干
榪	杩
榮	荣
榲	榅
榿	桤
構	构
槍	枪
槓	杠
槤	梿
槧	椠
槨	椁
槫	𣏢
槮	椮
槳	桨
槶	椢
槼	椝
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
樠	𣗊
樢	㭤
樣	样
樤	𣔌
樧	榝
樫	㭴
樳	桪
樸	朴
樹	树
樺	桦
樿	椫
橈	桡
橋	桥
機	机
橢	椭
橫	横
橯	𣓿
檁	檩
檉	柽
檔	档
檜	桧
檟	槚
檢	检
檣	樯
檭	𣘴
檮	梼
檯	台
檳	槟
檵	𪲛
檸	柠
檻	槛
檾	𦼖
櫃	柜
櫅	𪲎
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫠	𪲮
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫺	棂
櫻	樱
欄	栏
欅	榉
欇	𪳍
權	权
欍	𣐤
欏	椤
欐	𪲔
欑	𪴙
欒	栾
欓	𣗋
欖	榄
欘	𣚚
欞	棂
欲	欲
欽	钦
歎	叹
歐	欧
歟	欤
歡	欢
歲	岁
歷	历
歸	归
歿	殁
殘	残
殞	殒
殢	𣨼
殤	殇
殨	㱮
殫	殚
殭	僵
殮	殓
殯	殡
殰	㱩
殲	歼
殺	杀
殻	壳
殼	壳
毀	毁
毆	殴
毊	𪵑
毿	毵
氂	牦
氈	毡
氌	氇
氣	气
氫	氢
氬	氩
氭	𣱝
氳	氲
氾	泛
汎	泛
汙	污
決	决
沈	沈 沉
沒	没
沖	冲
況	况
泛	泛
泝	溯
注	注
洩	泄
洶	汹
浹	浃
涂	涂
涇	泾
涌	涌
涗	涚
涼	凉
淀	淀
淒	凄
淚	泪
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
渙	涣
減	减
渢	沨
渦	涡
測	测
游	游
渾	浑
湊	凑
湋	𣲗
湞	浈
湧	涌
湯	汤
溈	沩
準	准
溝	沟
溡	𪶄
溫	温
溮	浉
溳	涢
溼	湿
滄	沧
滅	灭
滌	涤
滎	荥
滙	汇
滬	沪
滯	滞
滲	渗
滷	卤
滸	浒
滻	浐
滾	滚
滿	满
漁	渔
漊	溇
漓	漓
漚	沤
漢	汉
漣	涟
漬	渍
漲	涨
漵	溆
漸	渐
漿	浆
潁	颍
潑	泼
潔	洁
潕	𣲘
潙	沩
潚	㴋
潛	潜
潣	𫞗
潤	润
潯	浔
潰	溃
潷	滗
潿	涠
澀	涩
澅	𣶩
澆	浇
澇	涝
澐	沄
澗	涧
澠	渑
澤	泽
澦	滪
澩	泶
澬	𫞚
澮	浍
澱	淀
澾	㳠
濁	浊
濃	浓
濄	㳡
濆	𣸣
濕	湿
濘	泞
濚	溁
濛	蒙
濜	浕
濟	济
濤	涛
濧	㳔
濫	滥
濰	潍
濱	滨
濺	溅
濼	泺
濾	滤
濿	𪵱
瀂	澛
瀃	𣽷
瀅	滢
瀆	渎
瀇	㲿
瀉	泻
瀋	沈 渖
瀏	浏
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀦	潴
瀧	泷
瀨	濑
瀰	弥 㳽
瀲	潋
瀾	澜
灃	沣
灄	滠
灍	𫞝
灑	洒
灒	𪷽
灕	漓
灘	滩
灙	𣺼
灝	灏
灡	㳕
灣	湾
灤	滦
灧	滟
灩	滟
災	灾
為	为
烏	乌
烴	烃
無	无
煇	𪸩
煉	炼
煒	炜
煙	烟
煢	茕
煥	焕
煩	烦
煬	炀
煱	㶽
熂	𪸕
熅	煴
熉	𤈶
熌	𤇄
熏	熏
熒	荧
熓	𤆡
熗	炝
熚	𤇹
熡	𤋏
熱	热
熲	颎
熾	炽
燁	烨
燈	灯
燉	炖
燒	烧
燙	烫
燜	焖
營	营
燦	灿
燬	毁
燭	烛
燴	烩
燶	㶶
燻	熏
燼	烬
燾	焘
爃	𫞡
爄	𤇃
爇	𦶟
爍	烁
爐	炉
爖	𤇭
爛	烂
爥	𪹳
爧	𫞠
爭	争
爲	为
爺	爷
爾	尔
牀	床
牆	墙
牘	牍
牴	牴 抵
牽	牵
犖	荦
犛	牦
犞	𪺭
犢	犊
犧	牺
狀	状
狹	狭
狽	狈
猌	𪺽
猙	狰
猶	犹
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
獊	𪺷
獎	奖
獨	独
獩	𤞃
獪	狯
獫	猃
獮	狝
獰	狞
獱	㺍
獲	获
獵	猎
獷	犷
獸	兽
獺	獭
獻	献
獼	猕
玀	猡
玁	𤞤
珼	𫞥
現	现
琱	雕
琺	珐
琿	珲
瑋	玮
瑒	玚
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑲	玱
瑻	𪻲
瑽	𪻐
璉	琏
璊	𫞩
璝	𪻺
璡	琎
璣	玑
璦	瑷
璫	珰
璯	㻅
環	环
璵	玙
璸	瑸
璼	𫞨
璽	玺
璾	𫞦
瓄	𪻨
瓊	琼
瓏	珑
瓔	璎
瓕	𤦀
瓚	瓒
瓛	𤩽
瓮	瓮
甌	瓯
甕	瓮
產	产
産	产
甦	苏
甯	宁
畝	亩
畢	毕
畫	画 划
異	异
畵	画
當	当
畼	𪽈
疇	畴
疊	叠
症	症
痙	痉
痠	酸
痮	𪽪
痾	疴
瘂	痖
瘋	疯
瘍	疡
瘓	痪
瘞	瘗
瘡	疮
瘧	疟
瘮	瘆
瘱	𪽷
瘲	疭
瘺	瘘
瘻	瘘
療	疗
癆	痨
癇	痫
癉	瘅
癐	𤶊
癒	愈
癘	疠
癟	瘪
癡	痴
癢	痒
癤	疖
癥	症
癧	疬
癩	癞
癬	癣
癭	瘿
癮	瘾
癰	痈
癱	瘫
癲	癫
發	发
皁	皂
皚	皑
皟	𤾀
皰	疱
皸	皲
皺	皱
盃	杯
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
盨	𪾔
盪	荡
眝	𪾣
眞	真
眥	眦
眾	众
睍	𪾢
睏	困
睜	睁
睞	睐
睪	睾 睪
瞘	眍
瞜	䁖
瞞	瞒
瞤	𥆧
瞭	瞭 了
瞶	瞆
瞼	睑
矇	蒙
矉	𪾸
矑	𪾦
矓	眬
矚	瞩
矩	矩
矯	矫
硃	朱
硜	硁
硤	硖
硨	砗
确	确
硯	砚
碕	埼
碙	𥐻
碩	硕
碭	砀
碸	砜
確	确
碼	码
碽	䂵
磑	硙
磚	砖
磠	硵
磣	碜
磧	碛
磯	矶
磽	硗
磾	䃅
礄	硚
礆	硷
礎	础
礒	𥐟
礙	碍
礦	矿
礪	砺
礫	砾
礬	矾
礮	𪿫
礱	砻
祇	祇 只
祕	秘
祘	祘
祿	禄
禍	祸
禎	祯
禕	祎
禡	祃
禦	御
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
私	私
秈	籼
秋	秋
种	种
稅	税
稈	秆
稏	䅉
稜	棱
稟	禀
種	种
稱	称
穀	谷
